datetime,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2020-01-01 00:00:00,5.771105123753363,282.5844374095129,277.4926150468765,307.6113768129392,0.2561821163644089,12.11136,8103.84905,2275.53734,83.84722,1315.2018,844.82996,130.46,0.0
2020-01-01 01:00:00,5.295640951945276,280.7966544629192,277.32749122653814,7.386330914396614,0.1854179945696895,11.98153,8830.62378,2274.80187,84.56255,1389.0232,2.18,141.75,1.90306
2020-01-01 02:00:00,5.295640951945276,280.7966544629192,277.32749122653814,7.386330914396614,0.1854179945696895,12.11398,9790.69634,2275.77511,84.46732,1337.71916,0.0,155.78,1.71414
2020-01-01 03:00:00,5.295640951945276,280.7966544629192,277.32749122653814,7.386330914396614,0.1854179945696895,11.92937,10267.96118,2277.78771,82.39426,1295.39373,0.0,151.16,1.18983
2020-01-01 04:00:00,5.185582383793298,279.94658096457715,276.4995230084579,2.288638171989436,0.2445877588988719,11.57302,10122.77707,2280.73492,82.80692,1216.76809,0.0,124.54,0.0
2020-01-01 05:00:00,5.185582383793298,279.94658096457715,276.4995230084579,2.288638171989436,0.2445877588988719,11.89925,9529.8989,2281.66089,81.41915,1281.37178,0.0,118.22,0.0
2020-01-01 06:00:00,5.185582383793298,279.94658096457715,276.4995230084579,2.288638171989436,0.2445877588988719,11.95959,8574.53408,2285.74199,82.15821,1288.12662,0.0,121.21,1.98784
2020-01-01 07:00:00,5.160683066493013,279.21570098687494,275.71029885148675,0.0,0.0204872891480609,12.04361,7981.84958,2290.4541,83.68123,1210.162,0.0,120.04,2.41465
2020-01-01 08:00:00,5.160683066493013,279.21570098687494,275.71029885148675,0.0,0.0204872891480609,11.92919,7759.31403,2293.30879,83.15116,1180.47931,0.0,139.18,0.0
2020-01-01 09:00:00,5.160683066493013,279.21570098687494,275.71029885148675,0.0,0.0204872891480609,11.88163,7299.96345,2292.8721,84.73012,1233.86969,0.0,155.88,0.0
2020-01-01 10:00:00,5.032181323965382,278.7269451962941,274.96258332380614,0.0,0.0292417376035238,11.9207,7122.95524,2288.30157,83.99367,1248.36799,0.0,187.77,0.0
2020-01-01 11:00:00,5.032181323965382,278.7269451962941,274.96258332380614,0.0,0.0292417376035238,12.03073,7166.20211,2284.65264,83.27723,1389.03508,0.0,243.80999,1.52615
2020-01-01 12:00:00,5.032181323965382,278.7269451962941,274.96258332380614,0.0,0.0292417376035238,12.2242,7591.63092,2285.25458,83.14137,1498.9809,0.0,436.01001,3.07696
2020-01-01 13:00:00,4.832868300037221,278.4280067023509,274.4300772108894,0.0,0.0034038809615792,12.00201,8017.17933,2289.75007,84.17082,1411.12988,0.0,569.58001,3.66085
2020-01-01 14:00:00,4.832868300037221,278.4280067023509,274.4300772108894,0.0,0.0034038809615792,11.60681,7841.77276,2294.67988,84.24377,1267.65434,4.04,613.75002,0.0
2020-01-01 15:00:00,4.832868300037221,278.4280067023509,274.4300772108894,0.0,0.0034038809615792,11.47062,7617.93525,2299.18134,84.52196,1237.44337,1021.87001,713.04999,0.34188
2020-01-01 16:00:00,4.813302221834112,281.60425387586133,275.073047982158,86.87471358464478,0.0046857455694078,11.59143,7149.11823,2299.70696,85.96202,1150.56494,3741.69992,816.08002,0.0
2020-01-01 17:00:00,4.813302221834112,281.60425387586133,275.073047982158,86.87471358464478,0.0046857455694078,11.40502,6551.99644,2301.31459,84.98163,1109.61833,5910.34993,1008.52004,1.21611
2020-01-01 18:00:00,4.813302221834112,281.60425387586133,275.073047982158,86.87471358464478,0.0046857455694078,11.67442,6081.71268,2302.37359,87.10084,1151.37635,6657.78997,1090.30001,0.0
2020-01-01 19:00:00,5.024950541865593,283.23990705582594,274.8523135563413,463.579707225722,0.0003426709054862,11.91814,5706.04362,2301.94466,86.18894,1136.03114,6823.77968,1273.10003,1.83141
2020-01-01 20:00:00,5.024950541865593,283.23990705582594,274.8523135563413,463.579707225722,0.0003426709054862,11.83591,5650.91258,2302.77906,85.70023,1216.98831,6839.7698,1750.29007,0.0
2020-01-01 21:00:00,5.024950541865593,283.23990705582594,274.8523135563413,463.579707225722,0.0003426709054862,11.83758,5842.00831,2303.5487,84.8403,1228.39536,6731.61981,2175.86993,0.0
2020-01-01 22:00:00,4.204097890532806,282.2379242972457,275.2900918499747,384.3365465108784,0.000534106180569,12.05539,6181.7442,2305.17677,86.52277,1281.40059,5900.73017,2408.70007,0.0
2020-01-01 23:00:00,4.204097890532806,282.2379242972457,275.2900918499747,384.3365465108784,0.000534106180569,11.93732,6856.17121,2305.47029,86.37694,1315.63662,3431.37994,2520.20005,1.80044
2020-01-02 00:00:00,4.204097890532806,282.2379242972457,275.2900918499747,384.3365465108784,0.000534106180569,12.56623,8197.18286,2306.53634,83.09346,1407.0573,2875.81674,2170.50929,0.0
2020-01-02 01:00:00,3.707698790628872,280.1873333059566,274.5215421963601,12.161035041152491,9.282234637289909e-05,12.44061,8882.85734,2305.80253,83.82256,1494.97829,1436.91228,2185.39401,1.90306
2020-01-02 02:00:00,3.707698790628872,280.1873333059566,274.5215421963601,12.161035041152491,9.282234637289909e-05,12.57824,9825.25482,2306.81246,83.73859,1445.74254,99.48578,2159.12638,1.71414
2020-01-02 03:00:00,3.707698790628872,280.1873333059566,274.5215421963601,12.161035041152491,9.282234637289909e-05,12.37285,10306.72456,2308.85693,81.68932,1391.47579,0.0,2126.3326,1.18983
2020-01-02 04:00:00,3.2600586813806296,279.8673321950995,274.10461032311184,5.822966108168456,0.0002783451921112,12.0138,10182.59681,2311.85968,82.11479,1292.01463,0.0,2106.7936,0.0
2020-01-02 05:00:00,3.2600586813806296,279.8673321950995,274.10461032311184,5.822966108168456,0.0002783451921112,12.34564,9619.72569,2312.77004,80.74544,1325.93932,0.0,2082.20631,0.0
2020-01-02 06:00:00,3.2600586813806296,279.8673321950995,274.10461032311184,5.822966108168456,0.0002783451921112,12.41643,8714.46548,2316.8951,81.48545,1301.78568,0.0,2018.3167,1.98784
2020-01-02 07:00:00,2.922455455992915,279.619428366167,273.6711866071076,0.0,9.282234637289909e-05,12.49361,8176.04291,2321.66419,83.00939,1207.03446,346.0368,1902.86628,2.41465
2020-01-02 08:00:00,2.922455455992915,279.619428366167,273.6711866071076,0.0,9.282234637289909e-05,12.35924,8001.85813,2324.55888,82.49456,1171.20332,762.26976,1893.71437,0.0
2020-01-02 09:00:00,2.922455455992915,279.619428366167,273.6711866071076,0.0,9.282234637289909e-05,12.31641,7564.54922,2324.06981,84.07021,1228.35364,807.18576,1891.24039,0.0
2020-01-02 10:00:00,2.4992765050879946,279.41129615443606,273.207663530646,0.0,0.0002472419473104,12.36914,7392.94866,2319.36187,83.34623,1255.51695,828.25931,1998.48432,0.0
2020-01-02 11:00:00,2.4992765050879946,279.41129615443606,273.207663530646,0.0,0.0002472419473104,12.47569,7420.21315,2315.58588,82.63591,1412.08848,321.38742,1996.19508,1.52615
2020-01-02 12:00:00,2.4992765050879946,279.41129615443606,273.207663530646,0.0,0.0002472419473104,12.66978,7808.24986,2316.14761,82.5086,1541.39483,0.0,2003.54389,3.07696
2020-01-02 13:00:00,2.205549422036253,279.33834102767224,272.9502206619362,0.0,0.0,12.44411,8191.07599,2320.69152,83.53911,1465.92051,0.0,1984.00975,3.66085
2020-01-02 14:00:00,2.205549422036253,279.33834102767224,272.9502206619362,0.0,0.0,12.02639,7990.16354,2325.69083,83.61917,1323.68412,295.0654,1907.26533,0.0
2020-01-02 15:00:00,2.205549422036253,279.33834102767224,272.9502206619362,0.0,0.0,11.89483,7765.47798,2330.28135,83.90156,1287.4495,2302.7441,1841.33419,0.34188
